"respondent_id","interview_date","district","upazila","respondent_type","age","sex","ethnicity","education_level","household_size","monthly_income_bdt","years_in_programme","forest_land_managed_acres","tree_species_planted","seedlings_distributed","seedling_survival_rate_pct","biodiversity_index_baseline","biodiversity_index_endline","forest_cover_change","watershed_comanagement","ntfp_income_bdt","eco_enterprise_involved","sustainable_ag_practices","conservation_knowledge_baseline","conservation_knowledge_endline","attitude_conservation_baseline","attitude_conservation_endline","community_rules_exist","resource_conflict_12mo","satisfaction_forest_mgmt","satisfaction_score","training_received","climate_impact_on_biodiversity"
"BER-0001",2024-11-27,"Khagrachari","Panchhari","Community Leader/Headman",54,"Female","Tanchangya","Graduate and above",7,11708,2,9.2,9,348,63.3,60,68,"No change","Active",3430,"Yes",2,11,17,5,4,"Yes","No",4,3,"No","Moderate"
"BER-0002",2024-10-24,"Bandarban","Rowangchhari","Community Leader/Headman",37,"Male","Marma","SSC/Equivalent",5,8111,4,6.5,6,236,93.3,56,71,"Moderately increased","Occasional",2574,"Yes",2,15,20,2,5,"Yes","No",4,5,"Yes","Mild"
"BER-0003",2024-09-27,"Bandarban","Rowangchhari","Community Forest Management Group",56,"Male","Chakma","SSC/Equivalent",6,15629,4,6.2,8,296,76.8,35,41,"Significantly increased","Occasional",692,"No",4,15,20,3,3,"Under development","No",2,5,"Yes","Mild"
"BER-0004",2024-10-18,"Bandarban","Rowangchhari","Local NGO Representative",45,"Male","Tanchangya","Secondary (Class 6-10)",4,14950,3,14.9,3,338,91.6,59,70,"Significantly decreased","Not participating",2254,"No",1,12,19,2,5,"Yes","No",2,4,"Yes","Moderate"
"BER-0005",2024-09-05,"Khagrachari","Khagrachari Sadar","Community Forest Management Group",46,"Male","Marma","Primary (Class 1-5)",6,11294,2,13.1,6,211,71.6,33,40,"Significantly increased","Active",592,"No",1,10,15,4,4,"Yes","Yes",4,4,"No","Severe"
"BER-0006",2024-09-12,"Bandarban","Ruma","Biodiversity Conservation Group (BCG)",44,"Male","Chak","No formal education",5,13445,4,4.2,8,349,77.5,60,83,"Significantly decreased","Not participating",2896,"No",0,10,13,1,3,"Yes","No",3,5,"Yes","Severe"
"BER-0007",2024-11-19,"Khagrachari","Guimara","Local NGO Representative",52,"Male","Chakma","No formal education",6,9816,3,6.3,1,264,83.5,31,45,"Significantly increased","Active",2651,"Yes",2,14,18,5,2,"Under development","No",4,4,"Yes","Severe"
"BER-0008",2024-10-30,"Rangamati","Belaichhari","Community Forest Management Group",24,"Male","Khumi","Primary (Class 1-5)",4,3500,3,5.2,11,139,84.5,42,50,"No change","Active",2860,"Yes",2,10,12,3,1,"Yes","No",4,3,"No","Mild"
"BER-0009",2024-10-10,"Bandarban","Naikhongchhari","Local NGO Representative",18,"Male","Bawm","Secondary (Class 6-10)",6,6654,3,10.1,9,483,64.1,48,51,"Moderately increased","Not participating",1381,"No",3,8,11,4,4,"Yes","No",4,3,"Yes","Severe"
"BER-0010",2024-11-02,"Bandarban","Bandarban Sadar","Community Forest Management Group",40,"Male","Tripura","Secondary (Class 6-10)",6,21940,2,10.7,7,329,83.6,72,78,"Significantly increased","Not participating",3068,"No",1,7,12,3,3,"Yes","No",4,5,"No","No impact observed"
"BER-0011",2024-09-22,"Bandarban","Naikhongchhari","Community Leader/Headman",54,"Male","Chak","SSC/Equivalent",7,12633,1,0.5,5,403,81.8,63,64,"Significantly decreased","Active",3123,"No",4,7,8,4,5,"Under development","No",5,2,"Yes","Moderate"
"BER-0012",2024-10-19,"Khagrachari","Guimara","Youth Eco-Entrepreneur",40,"Female","Chakma","Secondary (Class 6-10)",4,15456,4,9,3,323,89,60,65,"Moderately increased","Active",3426,"No",3,6,13,5,5,"Yes","Yes",3,4,"Yes","Moderate"
