"respondent_id","interview_date","district","upazila","respondent_type","age","sex","ethnicity","education_level","household_size","monthly_income_bdt","land_ownership","climate_shocks_experienced","crop_loss_last3yrs","livelihood_disrupted","years_in_programme","attended_climate_training","adaptation_practices_score_baseline","adaptation_practices_score_endline","resilience_index_baseline","resilience_index_endline","access_early_warning_baseline","access_early_warning_endline","women_decision_making_baseline","women_decision_making_endline","livelihood_sources_baseline","livelihood_sources_endline","wcrc_functionality","satisfaction_score","savings_monthly_bdt","food_security","climate_knowledge_score"
"COR-0001",2024-09-28,"Bandarban","Bandarban Sadar","Women's Climate Resilience Committee (WCRC)",43,"Female","Chakma","Secondary (Class 6-10)",5,21174,"Yes","None","Yes","Yes",2,"Yes",2,3,29,36,"Yes","Yes","Often","Often",3,3,4,4,0,"Food Secure",11
"COR-0002",2024-09-19,"Rangamati","Barkal","Local Government Representative",37,"Male","Marma","Primary (Class 1-5)",3,12900,"No","Erratic Rainfall","Yes","Yes",2,"Yes",2,3,31,38,"No","Yes","Never","Often",2,2,NA,4,0,"Food Secure",9
"COR-0003",2024-09-28,"Khagrachari","Panchhari","Women's Climate Resilience Committee (WCRC)",45,"Female","Marma","HSC/Equivalent",7,17892,"No","Multiple","Yes","Yes",3,"Yes",4,7,32,37,"No","Yes","Often","Sometimes",2,3,4,4,0,"Food Secure",18
"COR-0004",2024-10-15,"Khagrachari","Mahalchhari","Youth Group",25,"Female","Tripura","Primary (Class 1-5)",4,12897,"No","Landslide","Yes","Yes",4,"No",3,7,35,50,"No","Yes","Sometimes","Sometimes",2,2,NA,4,0,"Food Secure",6
"COR-0005",2024-11-12,"Khagrachari","Dighinala","Community Stakeholder",39,"Female","Chakma","No formal education",5,16524,"No","Erratic Rainfall","No","Yes",2,"Yes",2,3,10,16,"Yes","Yes","Sometimes","Rarely",3,3,NA,5,2409,"Moderately Food Insecure",16
"COR-0006",2024-10-16,"Bandarban","Ruma","Community Stakeholder",26,"Male","Tanchangya","No formal education",5,15279,"Yes","None","No","Yes",1,"Yes",7,8,37,38,"No","Yes","Often","Sometimes",2,3,NA,5,0,"Food Secure",16
"COR-0007",2024-10-06,"Khagrachari","Mahalchhari","Village Women Group (VWG)",39,"Female","Chakma","Secondary (Class 6-10)",5,4561,"Yes","Drought","No","No",3,"Yes",2,4,70,74,"No","No","Sometimes","Often",2,3,NA,4,0,"Moderately Food Insecure",18
"COR-0008",2024-09-08,"Rangamati","Rajasthali","Village Women Group (VWG)",33,"Female","Bengali","Primary (Class 1-5)",6,9134,"No","Flash Flood","No","Yes",2,"No",5,6,33,47,"No","No","Rarely","Sometimes",1,4,NA,4,1415,"Mildly Food Insecure",6
"COR-0009",2024-11-15,"Bandarban","Ruma","Village Women Group (VWG)",35,"Female","Marma","Graduate and above",3,9556,"Yes","Drought","Yes","No",3,"No",3,5,34,48,"No","Yes","Rarely","Rarely",3,3,NA,4,2780,"Food Secure",14
"COR-0010",2024-11-10,"Rangamati","Kaptai","Community Stakeholder",38,"Female","Pangkhua","Secondary (Class 6-10)",6,13379,"Yes","Drought","No","Yes",2,"Yes",3,6,36,40,"No","Yes","Never","Often",1,5,NA,5,1749,"Food Secure",12
"COR-0011",2024-11-11,"Bandarban","Thanchi","Community Stakeholder",32,"Female","Chakma","No formal education",5,10684,"Yes","Landslide","Yes","No",1,"Yes",4,5,23,26,"Yes","Yes","Always","Often",1,6,NA,3,1905,"Moderately Food Insecure",10
