"respondent_id","interview_date","district","upazila","respondent_type","age","sex","ethnicity","school_type","school_has_safe_water","school_has_separate_toilet","school_has_menstrual_hygiene_facility","school_gender_responsive_policy","years_in_programme","enrollment_rate_baseline_pct","enrollment_rate_endline_pct","girls_attendance_days_baseline","girls_attendance_days_endline","dropout_rate_girls_baseline_pct","dropout_rate_girls_endline_pct","learning_score_baseline","learning_score_endline","agency_score_baseline","agency_score_endline","child_marriage_prevalence_baseline_pct","child_marriage_prevalence_endline_pct","gbv_awareness_baseline","gbv_awareness_endline","mhm_knowledge_baseline","mhm_knowledge_endline","participates_in_school_activities","teacher_trained_gender_responsive","teacher_uses_inclusive_methods","parent_education_support","household_distance_to_school_km","economic_barrier_to_schooling","rhcw_households_served","rhcw_mhm_sessions_conducted","satisfaction_score"
"WGE-0001",2024-09-27,"Khagrachari","Panchhari","Household (Parent/Guardian)",38,"Male","Marma","Government Primary School","No","No","No","No",2,66.7,81.7,13,16,24.2,11.7,19,28,0,1.9,32.4,29.5,3,4,"Moderate","Excellent","Yes","Yes","No","Supports",1.5,"No barrier",10,8,1
"WGE-0002",2024-09-28,"Khagrachari","Khagrachari Sadar","Household (Parent/Guardian)",46,"Female","Murung","Government Secondary School","No","Yes","Yes","Yes",3,62.4,74.8,14,16,11.7,7.8,26,41,2.9,4.3,39.7,33,4,5,"Good","Good","Yes","No","Partially","Supports",0.9,"Yes - major barrier",36,3,5
"WGE-0003",2024-10-06,"Rangamati","Longadu","Police/Law Enforcement",35,"Male","Chakma","Government Secondary School","No","Yes","No","Partially",2,47.2,54.8,17,19,16.3,10.7,49,55,2.4,4.4,42.9,35.1,4,2,"Poor","Good","Yes","Yes","Yes","Neutral",0.6,"No barrier",46,7,4
"WGE-0004",2024-09-21,"Rangamati","Naniarchar","Reproductive Health Community Worker (RHCW)",27,"Female","Chakma","Community Learning Centre","No","No","Yes","Partially",2,70.9,85.4,16,17,20,13.7,38,39,5,5.5,54.2,48.7,2,4,"Good","Good","Yes","No","Yes","Strongly supports",3,"No barrier",51,11,4
"WGE-0005",2024-11-12,"Khagrachari","Ramgarh","Community Stakeholder",43,"Female","Marma","Government Secondary School","Yes","No","No","Yes",4,83.6,82.5,17,18,25.5,16.8,40,60,2,3.1,10,8.2,3,3,"Good","Poor","Yes","Yes","Yes","Neutral",5,"Yes - minor barrier",50,2,2
"WGE-0006",2024-09-26,"Rangamati","Baghaichhari","School Student (Girl)",12,"Female","Khumi","Community Learning Centre","Yes","Yes","No","Partially",1,68.9,83,21,22,20.1,14.9,62,68,4.7,5.6,60.1,53.3,2,4,"Good","Excellent","No","No","Partially","Strongly supports",2.3,"No barrier",82,7,2
"WGE-0007",2024-09-28,"Khagrachari","Dighinala","School Student (Girl)",11,"Female","Tanchangya","Madrasa","Yes","Yes","No","Yes",2,92.2,100,20,22,15.1,6.9,31,36,3.1,4,22.8,18.2,4,5,"Good","Good","No","Yes","Partially","Neutral",3.8,"No barrier",64,4,4
"WGE-0008",2024-10-12,"Bandarban","Lama","School Student (Girl)",11,"Female","Chakma","Government Primary School","Yes","Yes","Yes","Yes",3,60.5,69,21,20,24.5,19,41,52,2.7,3.1,45.5,38.7,4,5,"Excellent","Good","Yes","No","Partially","Does not support",1.9,"Yes - major barrier",59,8,4
"WGE-0009",2024-10-08,"Rangamati","Rajasthali","Household (Parent/Guardian)",39,"Male","Chakma","Madrasa","Yes","No","No","Yes",4,70.3,74,16,17,20.4,14.7,72,95,3.8,4.6,57.3,48.8,1,1,"Excellent","Good","No","Yes","No","Neutral",3.7,"Yes - minor barrier",54,8,4
"WGE-0010",2024-09-14,"Khagrachari","Panchhari","School Student (Boy)",14,"Male","Tripura","Government Secondary School","Yes","Yes","Yes","No",3,78.1,93.7,19,22,25.4,17.9,19,33,2.2,4.8,29.8,24.5,5,2,"Moderate","Good","No","Yes","Partially","Strongly supports",1.4,"Yes - minor barrier",44,8,4
"WGE-0011",2024-11-16,"Rangamati","Rajasthali","School Student (Girl)",12,"Female","Marma","Government Secondary School","Yes","No","Yes","Yes",3,65.7,76.2,13,16,21.9,23,52,58,4.3,6.1,54.7,47.4,4,5,"Moderate","Good","No","Yes","Partially","Neutral",1.4,"Yes - minor barrier",57,7,5
"WGE-0012",2024-10-20,"Khagrachari","Panchhari","Teacher",36,"Male","Pangkhua","Government Primary School","No","Yes","No","Partially",4,83.8,98.7,14,16,25.8,24,72,83,7.3,10,42,40.4,1,4,"Moderate","Moderate","Yes","No","Yes","Supports",1.5,"No barrier",34,7,4
"WGE-0013",2024-10-13,"Rangamati","Rajasthali","School Student (Girl)",13,"Female","Chakma","Government Primary School","No","Yes","No","Partially",2,62.7,69,15,16,17.3,9.1,65,73,4,4.5,48.8,37,4,2,"Poor","Good","Yes","No","Yes","Strongly supports",2.1,"Yes - major barrier",25,6,5
"WGE-0014",2024-09-27,"Bandarban","Bandarban Sadar","School Student (Boy)",14,"Male","Murung","Government Secondary School","No","Yes","Yes","Yes",3,84,98.7,17,20,21.5,14.3,48,56,4.3,5.4,50.5,50,1,2,"Moderate","Good","No","No","Yes","Neutral",2.6,"Yes - minor barrier",18,7,3
"WGE-0015",2024-11-14,"Rangamati","Rajasthali","School Student (Girl)",12,"Female","Bawm","NGO-run School","Yes","Yes","No","Yes",3,89.6,100,16,19,17,5.8,50,58,3.7,6.9,39.5,29,1,5,"Poor","Excellent","No","Yes","No","Neutral",0.2,"Yes - minor barrier",41,12,2
"WGE-0016",2024-10-31,"Rangamati","Baghaichhari","Household (Parent/Guardian)",37,"Male","Bawm","Government Secondary School","No","Yes","Yes","Yes",3,62.5,70.9,18,22,24.1,22.7,34,43,5,7.4,49,38,2,5,"Good","Excellent","Yes","No","Partially","Supports",6.4,"Yes - major barrier",58,9,3
"WGE-0017",2024-11-18,"Khagrachari","Panchhari","Reproductive Health Community Worker (RHCW)",29,"Female","Tripura","Government Secondary School","Yes","No","Yes","Partially",2,75.9,97.9,19,22,5.2,0,43,49,1,3.1,49.8,43.6,2,4,"Excellent","Good","No","Yes","Yes","Supports",1.7,"No barrier",57,6,3
